Index;t;x;y
909,000000000;61,303975270;14,729065572;1,765747571
910,000000000;61,335524255;14,667488999;1,786194102
911,000000000;61,367239043;14,602995557;1,806806110
912,000000000;61,399149475;14,535509735;1,827592904
913,000000000;61,431285885;14,464949119;1,848563570
914,000000000;61,463679233;14,391224248;1,869726945
915,000000000;61,496369629;14,314218346;1,891097059
916,000000000;61,529395791;14,233810249;1,912686099
917,000000000;61,562804047;14,149852565;1,934510095
918,000000000;61,596650486;14,062163703;1,956590089
919,000000000;61,630997084;13,970535410;1,978949284
920,000000000;61,665915335;13,874721425;2,001615016
921,000000000;61,701494900;13,774410347;2,024623832
922,000000000;61,737845221;13,669215641;2,048021748
923,000000000;61,775098695;13,558660670;2,071865251
924,000000000;61,813432391;13,442105968;2,096233671
925,000000000;61,853082321;13,318691385;2,121235779
926,000000000;61,894383353;13,187190988;2,147031013
927,000000000;61,937840698;13,045749131;2,173867086
928,000000000;61,984310025;12,891224556;2,202177129
929,000000000;62,035502068;12,717349623;2,232852873
930,000000000;62,096356034;12,506121266;2,268545797
931,000000000;62,151016788;12,312622051;2,299819340
932,000000000;62,209018995;12,103867805;2,332115530
933,000000000;62,258987887;11,921566543;2,359148773
934,000000000;62,304841237;11,752562104;2,383270888
935,000000000;62,348373707;11,590818637;2,405534051
936,000000000;62,390352163;11,433853182;2,426387602
937,000000000;62,431202640;11,280343759;2,446078547
938,000000000;62,471203384;11,129461868;2,464764280
939,000000000;62,510547394;10,980662281;2,482550523
940,000000000;62,549385288;10,833534692;2,499515497
941,000000000;62,587831699;10,687787486;2,515715323
942,000000000;62,625981669;10,543190887;2,531192948
943,000000000;62,663915586;10,399561740;2,545981277
944,000000000;62,701702129;10,256754884;2,560105183
945,000000000;62,739404734;10,114640624;2,573584516
946,000000000;62,777079272;9,973115015;2,586433604
947,000000000;62,814776438;9,832092014;2,598662508
948,000000000;62,852544824;9,691492980;2,610278265
949,000000000;62,890432140;9,551243113;2,621285331
950,000000000;62,928483151;9,411279983;2,631685033
951,000000000;62,966743428;9,271540484;2,641476700
952,000000000;63,005258638;9,131964369;2,650657380
953,000000000;63,044074562;8,992495047;2,659221804
954,000000000;63,083238974;8,853073743;2,667162714
955,000000000;63,122800312;8,713645257;2,674470433
956,000000000;63,162813491;8,574138708;2,681133721
957,000000000;63,203335100;8,434486015;2,687138516
958,000000000;63,244426713;8,294611886;2,692468190
959,000000000;63,286159182;8,154421429;2,697103553
960,000000000;63,328608547;8,013816670;2,701021673
961,000000000;63,371861427;7,872681406;2,704195782
962,000000000;63,416023062;7,730859407;2,706594691
963,000000000;63,461213508;7,588172678;2,708180984
964,000000000;63,507578212;7,444394794;2,708909736
965,000000000;63,555295020;7,299239275;2,708726045
966,000000000;63,604594660;7,152311772;2,707561274
967,000000000;63,655777831;7,003081453;2,705326973
968,000000000;63,708829623;6,851994602;2,701936461
969,000000000;63,762732979;6,702250109;2,697402058
970,000000000;63,817594195;6,553756875;2,691693563
971,000000000;63,873516975;6,406454326;2,684776448
972,000000000;63,930615843;6,260277962;2,676610545
973,000000000;63,989020573;6,115152769;2,667148799
974,000000000;64,048877232;5,970996656;2,656336281
975,000000000;64,110356154;5,827708562;2,644107802
976,000000000;64,173655344;5,685170456;2,630385898
977,000000000;64,239011009;5,543235899;2,615076972
